Cell_name,Labels,Paths,PathLength,Section_eucli_dist,AvgSecDiam,StdSecDiam,Num_Branchs,Connect_angle,Extremes
Pyr_p0,soma,"[0, 'soma']",0.0,0.0,22.068234234962322,0.0,8,,0
Pyr_p0,dendrite_1[0],"[[0, 1], ['soma', 'dendrite_1[0]']]",46.45982230149299,39.39860403618382,3.4999999999999996,0.0,2,"[64.45443356297851, 22.472716671926918]",0
Pyr_p0,dendrite_1[1],"[[0, 1, 2], ['soma', 'dendrite_1[0]', 'dendrite_1[1]']]",200.59718320211624,139.60479934443515,1.354037339254695,0.0,0,,1
Pyr_p0,dendrite_1[2],"[[0, 1, 3], ['soma', 'dendrite_1[0]', 'dendrite_1[2]']]",58.87358654203122,51.601841052427574,3.5000000000000004,0.0,2,"[58.21140674108914, 21.801409486351794]",0
Pyr_p0,dendrite_1[3],"[[0, 1, 3, 4], ['soma', 'dendrite_1[0]', 'dendrite_1[2]', 'dendrite_1[3]']]",120.21384484883575,96.31458871842833,1.2429568438026972,0.0,0,,1
Pyr_p0,dendrite_1[4],"[[0, 1, 3, 5], ['soma', 'dendrite_1[0]', 'dendrite_1[2]', 'dendrite_1[4]']]",68.03170317657316,59.42432162002356,3.4999999999999996,0.0,2,"[50.672647695179535, 78.79866704976506]",0
Pyr_p0,dendrite_1[5],"[[0, 1, 3, 5, 6], ['soma', 'dendrite_1[0]', 'dendrite_1[2]', 'dendrite_1[4]', 'dendrite_1[5]']]",95.25575866228124,75.57281257171788,1.4629403657445788,0.0,0,,1
Pyr_p0,dendrite_1[6],"[[0, 1, 3, 5, 7], ['soma', 'dendrite_1[0]', 'dendrite_1[2]', 'dendrite_1[4]', 'dendrite_1[6]']]",78.34437350362748,67.88593374182902,3.1058432619676677,0.0,2,"[50.572053216306315, 5.906141113770559]",0
Pyr_p0,dendrite_1[7],"[[0, 1, 3, 5, 7, 8], ['soma', 'dendrite_1[0]', 'dendrite_1[2]', 'dendrite_1[4]', 'dendrite_1[6]', 'dendrite_1[7]']]",240.99818180951465,192.5947818607763,1.1077792406448224,0.0,0,,1
Pyr_p0,dendrite_1[8],"[[0, 1, 3, 5, 7, 9], ['soma', 'dendrite_1[0]', 'dendrite_1[2]', 'dendrite_1[4]', 'dendrite_1[6]', 'dendrite_1[8]']]",390.05428139665725,360.27385417207284,2.792636604837741,0.0,2,,0
Pyr_p0,dendrite_1[9],"[[0, 1, 3, 5, 7, 9, 10], ['soma', 'dendrite_1[0]', 'dendrite_1[2]', 'dendrite_1[4]', 'dendrite_1[6]', 'dendrite_1[8]', 'dendrite_1[9]']]",672.1054156647194,612.576729887775,1.690626517148159,0.0,2,"[92.42407637532902, 34.5443242796071]",0
Pyr_p0,dendrite_1[10],"[[0, 1, 3, 5, 7, 9, 10, 11], ['soma', 'dendrite_1[0]', 'dendrite_1[2]', 'dendrite_1[4]', 'dendrite_1[6]', 'dendrite_1[8]', 'dendrite_1[9]', 'dendrite_1[10]']]",703.4944709652927,638.1255754159992,1.4947772877959173,0.0,2,"[36.070768650796346, 41.4729343089405]",0
Pyr_p0,dendrite_1[11],"[[0, 1, 3, 5, 7, 9, 10, 11, 12], ['soma', 'dendrite_1[0]', 'dendrite_1[2]', 'dendrite_1[4]', 'dendrite_1[6]', 'dendrite_1[8]', 'dendrite_1[9]', 'dendrite_1[10]', 'dendrite_1[11]']]",723.7090569730691,656.2392856268207,1.0132542214692353,0.0,0,,1
